timestamp;temperature;pressure;humidity;windspeed;windDirection2022-02-28T06:00:05;-3.99;938,00;87,0;86;55
2022-02-28T06:00:06;-3.99;1049,00;32,0;4;20
2022-02-28T06:00:09;-3.98;1037,00;65,0;85;63
2022-02-28T06:00:13;-3.97;1032,00;34,0;43;77
2022-02-28T06:00:14;-3.97;1010,00;59,0;22;69
2022-02-28T06:00:18;-3.97;941,00;51,0;38;91
2022-02-28T06:00:19;-3.96;1016,00;83,0;70;25
2022-02-28T06:00:21;-3.95;1037,00;84,0;24;18
2022-02-28T06:00:26;-3.94;950,00;48,0;18;56
2022-02-28T06:00:27;-3.94;1073,00;11,0;69;91
2022-02-28T06:00:32;-3.94;932,00;75,0;53;73
2022-02-28T06:00:34;-3.93;987,00;54,0;23;86
